Thuật Toán,Hàm Lượng Giá,Map,Seed,Kết Quả,Điểm Số,Thời Gian (giây)
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521427,Lose,-502,0.141
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521428,Lose,-502,0.125
ExpectimaxAgent,scoreEvaluationFunction,trappedClassic,24521429,Lose,-502,0.1064
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521425,Win,1152,39.2751
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521426,Win,524,82.7858
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521427,Lose,252,20.1837
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521428,Lose,-138,59.0873
ExpectimaxAgent,scoreEvaluationFunction,smallClassic,24521429,Lose,-353,136.8585
ExpectimaxAgent,scoreEvaluationFunction,mediumClassic,24521425,Win,1630,49.7346
ExpectimaxAgent,scoreEvaluationFunction,mediumClassic,24521426,Lose,-54,132.9876
ExpectimaxAgent,scoreEvaluationFunction,mediumClassic,24521427,Win,187,162.5877
ExpectimaxAgent,scoreEvaluationFunction,mediumClassic,24521428,Lose,144,72.3935
ExpectimaxAgent,scoreEvaluationFunction,mediumClassic,24521429,Lose,-3676,621.326
MinimaxAgent,betterEvaluationFunction,testClassic,24521425,Win,438,14.3663
MinimaxAgent,betterEvaluationFunction,testClassic,24521426,Win,466,9.1142
MinimaxAgent,betterEvaluationFunction,testClassic,24521427,Win,526,2.9762
MinimaxAgent,betterEvaluationFunction,testClassic,24521428,Win,556,1.4956
MinimaxAgent,betterEvaluationFunction,testClassic,24521429,Win,552,1.5308
MinimaxAgent,betterEvaluationFunction,minimaxClassic,24521425,Win,512,0.3019
MinimaxAgent,betterEvaluationFunction,minimaxClassic,24521426,Win,511,0.2873
MinimaxAgent,betterEvaluationFunction,minimaxClassic,24521427,Lose,-496,0.322
MinimaxAgent,betterEvaluationFunction,minimaxClassic,24521428,Lose,-497,0.3949
MinimaxAgent,betterEvaluationFunction,minimaxClassic,24521429,Lose,-496,0.3022
MinimaxAgent,betterEvaluationFunction,trappedClassic,24521425,Win,531,0.117
MinimaxAgent,betterEvaluationFunction,trappedClassic,24521426,Lose,-502,0.1253
MinimaxAgent,betterEvaluationFunction,trappedClassic,24521427,Lose,-502,0.1227
MinimaxAgent,betterEvaluationFunction,trappedClassic,24521428,Lose,-502,0.2658
